word_english,word_hebrew,description_en
addition,תוספת,the action or process of adding something to something else.
advance,קידום,"move forward, typically in a purposeful way."
advanced,מתקדם,far on or ahead in development or progress.
advertising,פרסום,the activity or profession of producing advertisements for commercial products or services.
among other things,בין היתר,including other things in addition to those mentioned.
analysis,ניתוח,detailed examination of the elements or structure of something.
appear,להופיע,come into sight; become visible or noticeable.
approach,גישה,a way of dealing with something.
as,כמו,used to indicate the function or character that someone or something has.
at least,לפחות,not less than; at the minimum.
average,ממוצע,a number expressing the central or typical value in a set of data.
be responsible for something/doing something,להיות אחראי על,"having an obligation to do something, or having control over or care for someone, as part of one's job or role."
before,לפני,during the period of time preceding (a particular event or time).
besides,בנוסף,in addition; apart from.
can,יכול,used to indicate possibility or ability.
challenge,אתגר,a task or situation that tests someone's abilities.
chance,הזדמנות,a possibility of something happening.
change,שינוי,the act or instance of making or becoming different.
characteristic,תכונה,"a feature or quality belonging typically to a person, place, or thing and serving to identify it."
claim,טענה,"state or assert that something is the case, typically without providing evidence or proof."
"come after/first/last, etc","לבוא אחרי/ראשון/אחרון, וכו'",occur or follow after a particular event or time.
common,נפוץ,"occurring, found, or done often; prevalent."
complicated,מורכב,consisting of many interconnecting parts or elements.
concern,דאגה,a matter of interest or importance to someone.
conditions,תנאים,the circumstances or factors affecting the way people live or work.
conduct,להתנהג,"the manner in which a person behaves, especially in a particular place or situation."
consequence,תוצאה,a result or effect of an action or condition.
considerable,משמעותי,"notably large in size, amount, or extent."
cope,להתמודד,deal effectively with something difficult.
critic,מבקר,a person who expresses an unfavorable opinion of something.
current,נוכחי,belonging to the present time; happening or being used or done now.
decrease,הפחתה,"make or become smaller or fewer in size, amount, intensity, or degree."
delayed,מאוחר,happening or done later than expected or intended.
deliberately,בכוונה,consciously and intentionally; on purpose.
demonstrate,להדגיש,clearly show the existence or truth of something by giving proof or evidence.
design,עיצוב,"a plan or drawing produced to show the look and function or workings of a building, garment, or other object before it is built or made."
destruction,השמדה,the action or process of causing so much damage to something that it no longer exists or cannot be repaired.
development,פיתוח,the process of developing or being developed.
disagreement,התנגדות,lack of consensus or approval.
disaster,אסון,"a sudden event, such as an accident or a natural catastrophe, that causes great damage or loss of life."
discovery,גילוי,the act of finding or learning something for the first time.
dislike,אי-אהבה,a feeling of distaste or hostility.
do,לעשות,perform an action or activity.
doubt,ספק,a feeling of uncertainty or lack of conviction.
drop,להפיל,let or make (something) fall vertically.
educate,לחנך,"give intellectual, moral, and social instruction to someone, typically at a school or university."
efficient,יעיל,achieving maximum productivity with minimum wasted effort or expense.
emphasis,הדגשה,"special importance, value, or prominence given to something."
enjoyable,נעים,giving delight or pleasure.
essay,מאמר,a short piece of writing on a particular subject.
essentially,בעיקר,"used to emphasize the basic, fundamental, or intrinsic nature of a person, thing, or situation."
even if,גם אם,introducing a conditional clause.
even though,אף על פי ש,introducing a concessive clause.
event,אירוע,"a thing that happens, especially one of importance."
exactly,בדיוק,used to emphasize the accuracy of a figure or description.
except that,חוץ מזה,apart from the fact that; with the exception that.
exist,לקיים,have objective reality or being.
extraordinary,יוצא מן הכלל,very unusual or remarkable.
feature,תכונה,a distinctive attribute or aspect of something.
feedback,משוב,"information about reactions to a product, a person's performance of a task, etc., used as a basis for improvement."
figure (n),דמות,a person's bodily shape (+ to figure (v) - להבין - to understand)
financial,פיננסי,relating to finance.
finding/findings,ממצאים,"a conclusion reached as a result of an inquiry, investigation, or discovery."
flexible,גמיש,capable of bending easily without breaking.
flood,שיטפון,"an overflow of a large amount of water beyond its normal limits, especially over what is normally dry land."
flu,שפעת,"a highly contagious viral infection of the respiratory passages causing fever, severe aching, and catarrh, and often occurring in epidemics."
focus on/upon somebody/something,להתמקד ב,direct one's attention or efforts towards something.
focus,מוקד,the center of interest or activity.
frequent,תדיר,"occurring or done on many occasions, in many cases, or in quick succession."
fresh,טרי,"recently made or obtained; not canned, frozen, or otherwise preserved."
frighten,להפחיד,make (someone) afraid or anxious.
from,מ,"indicating the point in space at which a journey, motion, or action starts."
gain,להרוויח,obtain or secure (something desirable).
generate,ליצור,"produce or create (something), typically energy or money."
guidance,הדרכה,"advice or information aimed at resolving a problem or difficulty, especially as given by someone in authority."
hopefully,בתקווה,in a hopeful manner.
ideal,אידיאלי,satisfying one's conception of what is perfect; most suitable.
illness,מחלה,a disease or period of sickness affecting the body or mind.
illustrate,להמחיש,"provide (a book, newspaper, etc.) with pictures."
image,תמונה,a representation of the external form of a person or thing in art.
in,ב,expressing the situation of something that is or appears to be enclosed or surrounded by something else.
"""in … terms / in terms of something""",במונחים של,in relation to the particular aspect or subject specified.
in actual fact,בעצם,"used to emphasize the truth of a statement, especially one contrary to what might be expected or what has been asserted."
in connection with something,בקשר ל,concerning or regarding.
in that case,במקרה ההוא,because of the fact that; if that is the case.
in the meantime,בינתיים,during the same period of time.
initial,ראשוני,existing at the beginning.
instruction,הוראה,a direction or order.
intelligence,אומץ מחשבה,the ability to learn and use knowledge and skills.
interest,עניין,the feeling of wanting to know or learn about something or someone.
introduce,להכיר,to use something for the first time.
invest,להשקיע,put (money) into something with the expectation of receiving a profit.
investigate,לחקור,to research something to discover and examine the facts so as to find the truth.
just about,בערך,very nearly.
keep on doing something,להמשיך לעשות משהו,continue doing something.
kind of,מסוגנן,"almost, a little bit."
knowledge,ידע,"facts, information, and skills acquired through experience or education; understanding of a subject."
lack,חוסר,not having (enough of) something.
landscape,נוף,the beautiful things you can see in an area of countryside or land
likely,סביר,something that could happen or be true; probable.
limited,מוגבל,"few, small, or short."
little,מעט,"small in size, amount, or degree."
look at something,להסתכל על משהו,to see something on purpose.
low,נמוך,not tall.
material,חומר,the matter from which a thing is or can be made.
mean,מכוון,to have a definition
means,אמצעים,a method.
measure,מידה,"find the size, amount, or degree of (something) by using an instrument"
mention,להזכיר,refer to something briefly and without going into detail.
miss,לוותר,"fail to hit, reach, or come into contact with (something aimed at)."
misunderstand,לא להבין,not understand (something) correctly.
more or less,בערך,a little bit; somewhat.
must,חייב,something that is necessary.
naturally,באופן טבעי,in a normal manner; without artificial aid.
nature,טבע,"the physical world: plants, animals, the landscape, and other features and products of the earth."
necessarily,לא חובה,as a necessity.
nevertheless,בכל זאת,in spite of that; notwithstanding; all the same.
not at all,לא בכלל,used as a polite response to thanks.
not only,לא רק,.
notice,להבחין,become aware of.
objective,מטרה,"a thing that someone wants, a goal."
occasional,מזדמן,something that happens only sometimes.
official,רשמי,"relating to an authority or public body and its duties, actions, and responsibilities."
on the one hand ... on the other hand,מצד אחד ... מצד שני,a sentence and another sentence that means the opposite
once,פעם אחת,on one occasion or for one time only.
others,אחרים,different or distinct.
otherwise,אחרת,in circumstances different from those present or considered; or else.
out of date,לא בתוקף,no longer relevant or in fashionable.
participate,להשתתף,take part in an activity or event.
particular,מסוים,an individual member of a group or class.
past,עבר,gone by in time and no longer existing.
perform,לבצע,"do, carry out, accomplish, or fulfill (an action, task, or function)."
personality,אישיות,an individual's distinctive character.
personally,באופן אישי,by a human.
planet,כוכב לכת,a celestial body moving in an elliptical orbit around a star.
planning,תכנון,the process of making plans for something.
plant,צמח,"trees, shrubs, herbs, grasses, ferns, and mosses."
point of view,נקודת מבט,a particular way of seeing a matter.
policy,מדיניות,a course of action adopted or proposed by an organization or individual.
pollution,זיהום,a substance or thing that has harmful or poisonous effects.
popular,פופולרי,"liked, admired, or enjoyed by many people"
population,אוכלוסיה,all the people living in a particular place.
prevent,למנוע,to keep (something) from happening.
priority,עדיפות,being regarded or treated as more important.
private,פרטי,belonging to or for the use of one particular person or group of people only.
probable,סביר,likely to be the case or to happen.
produce,לייצר,make from components or raw materials.
profession,מקצוע,a paid occupation or job.
professor,פרופסור,a teacher of the highest rank in a college or university.
proof,ראיון,evidence or argument establishing a fact or the truth of a statement.
proposed,צוין,a plan given for consideration by others.
protest,להפגין,to disagree with what someone has said or done.
provided (that),בתנאי,on the condition or understanding that.
psychology,פסיכולוגיה,the study of the human mind and its functions
public,ציבור,concerning the people as a whole.
purpose,מטרה,the reason for which something is done or created
quality,איכות,the level of excellence of something.
question,שאלה,a sentence worded or expressed so as to elicit information.
question,להעלות שאלה,ask questions of (someone)
questionnaire,שאלון,a set of questions with a choice of answers.
react,להגיב,respond or behave in response to something.
reasonable,סביר,fair and sensible.
recommend,להמליץ,to say someone or something is right for a certain role.
recycle,למחזר,convert (waste) into reusable material.
regard,לראות,consider or think of (someone or something) in a specified way.
region,אזור,"an area, especially part of a country or the world"
regular,קבוע,arranged in or constituting a constant or definite pattern
relevant,רלוונטי,closely connected or appropriate to what is being done or considered.
reliable,אמין,consistently good in quality or performance; able to be trusted.
rely on/upon sb/something,לסמוך על,depend on with full trust or confidence.
request,בקשה,an act of asking politely or formally for something.
research,מחקר,the systematic investigation into and study of materials and sources in order to establish facts and reach new conclusions.
result,תוצאה,"a consequence, effect, or outcome of something."
review,ביקורת,a formal assessment or examination of something with the possibility or intention of instituting change if necessary.
revise,לערוך חזרה על,reconsider and alter (something) in light of further evidence.
risk,סיכון,a situation involving exposure to danger.
run out of,"לסיים את המלאי, לאזול",exhaust the supply of; use up the available amount of.
rural,כפרי,"in, relating to, or characteristic of the countryside rather than the town."
salary,משכורת,"a fixed regular payment, typically paid on a monthly basis but often expressed as an annual sum, made by an employer to an employee, especially a professional or white-collar worker."
sample,דוגמית,a small part or quantity intended to show what the whole is like.
seldom,לעיתים רחוקות,not often; rarely.
sense,הגיון,"a faculty by which the body perceives an external stimulus; one of the faculties of sight, smell, hearing, taste, and touch."
set up something or set something up,להתקין,put (something) in place or in order.
significant,חשוב,sufficiently great or important to be worthy of attention; noteworthy.
skilled,מיומן,"having or showing the knowledge, ability, or training to perform a certain activity or task well."
slight,קל,small in degree; inconsiderable.
specialist,מומחה,a person who concentrates primarily on a particular subject or activity; a person highly skilled in a specific and restricted field.
specific,ספציפי,clearly defined or identified.
still,עדיין,up to and including the present or the time mentioned; even now (or then) as formerly.
structure,מבנה,the arrangement of and relations between the parts or elements of something complex.
study,ללמוד,"the devotion of time and attention to gaining knowledge of an academic subject, especially by means of books."
supposed,"אמור,צפוי","generally assumed or believed to be the case, but not necessarily so."
surface,משטח,the outside part or uppermost layer of something.
take advantage of something,"לנצל,להשתמש ביתרון",make good use of the opportunities offered by (something).
thanks to sb/something,"הודות ל,בזכות",by reason of; because of.
theory,תיאוריה,"a supposition or a system of ideas intended to explain something, especially one based on general principles independent of the thing to be explained."
throw away/out something or throw something away/out,לזרוק,dispose of (something) after use.
transport,הובלה,"take or carry (people or goods) from one place to another by means of a vehicle, aircraft, or ship."
trash,זבל,discarded matter; refuse.
treatment,טיפול,medical care given to a patient for an illness or injury.
unfortunately,למרבה הצער,used to express regrettable fact or event.
unhealthy,לא בריא,not conducive to health; unwholesome.
unique,יחודי,being the only one of its kind; unlike anything else.
united,מאוחד,"joined together politically, for a common purpose, or by common feelings."
universe,יקום,all existing matter and space considered as a whole; the cosmos.
unknown,לא ידוע,not known or familiar.
unlike,לא כמו,different from; dissimilar to.
unlikely,בלתי סביר,"not likely to happen, be done, or be true."
urban,עירוני,"in, relating to, or characteristic of a city or town."
vary,"להיות מגוון,להשתנות","differ in size, amount, degree, or nature from something else of the same general class."
view,נקודת מבט,the ability to see something or to be seen from a particular place.
visible,נראה,able to be seen.
vision,חזון,the faculty or state of being able to see.
volume,נפח,a book forming part of a work or series.
whom,למי,used as the object of a verb or preposition to refer to a person or people.
wildlife,חי וצומח,wild animals collectively; the native fauna and flora of a region.
within,בתוך,inside (something).
worthwhile,שווה ערך,"worth the time, money, or effort spent; of value or importance."
would,היה,expressing the conditional mood.
above,מעל,at a higher level or layer than.
account,חשבון,a record or statement of financial expenditure or receipts relating to a particular period or purpose.
acquire,לרכוש,buy or obtain (an asset or object) for oneself.
age,גיל,the length of time that a person has lived or a thing has existed.
agriculture,חקלאות,"the science or practice of farming, including cultivation of the soil for the growing of crops and the rearing of animals to provide food, wool, and other products."
all of a sudden,פתאום,happening or coming unexpectedly.
altogether,בסך הכול,completely; totally.
anxious,חסר נוחות,"feeling or showing worry, nervousness, or unease about something with an uncertain outcome."
apparent,נראה לעין,clearly visible or understood; obvious.
appropriate,מתאים,suitable or proper in the circumstances.
atmosphere,אוירה,"the pervading tone or mood of a place, situation, or creative work."
automatically,באופן אוטומטי,without conscious thought or attention; spontaneously.
bad,רע,of poor quality or a low standard.
be in charge,להיות אחראי/ממונה,be responsible for or have control over someone or something.
"be situated in/on/by, etc",להימצא ב,be located or placed in a particular position.
behind,מאחורי,at or toward the back of something.
believe in something,להאמין ב,"accept that (something) exists, is true, or is certain to happen."
blame,להאשים,feel or declare that (someone or something) is responsible for a fault or wrong.
block,חסימה,an obstacle to the normal progress or functioning of something.
brilliant,מצויין,exceptionally clever or talented.
bring up sb or bring sb up,לגדל,raise (a child).
calculate,לחשב,determine (the amount or number of something) mathematically.
clothing,ביגוד,items worn to cover the body.
competitive,תחרותי,relating to or characterized by competition.
contemporary,עכשווי,living or occurring at the same time.
contest,תחרות,a competition for a prize or honor.
continent,יבשת,"any of the world's main continuous expanses of land (Africa, Antarctica, Asia, Australia, Europe, North America, South America)."
copy,עותק,a thing made to be similar or identical to another.
criterion,קריטריון,a principle or standard by which something may be judged or decided.
cut down something or cut something down,להפחית,reduce the amount or quantity of.
decade,עשור,a period of ten years.
declare,להכריז,announce something publicly or officially.
degree,מעלה,"a unit of measurement of angles, one three-hundred-and-sixtieth of the circumference of a circle."
deliver,למסור,"bring and hand over (a letter, parcel, or ordered goods) to the proper recipient or address."
demanding,תובעני,requiring much skill or effort.
detect,לזהות,to notice something that is partly hidden or not clear or to discover something
determine,לקבוע,to control or influence something directly
differ,להיות שונה,to be not like something or someone else
differ,להיות שונה,to be not like something or someone else
disappointed,מאוכזב,sad or displeased because someone or something has failed to fulfill one's hopes or expectations.
divide,לחלק,separate or be separated into parts.
domestic,פנימי,"relating to the home, house, or family or a person’s own country"
done,עשוי,finished; completed.
double,כפול,"consisting of two equal, identical, or similar parts or things."
economical,כלכלי,"giving good value or service in relation to the amount of money, time, or effort spent."
editor,עורך,"a person who is in charge of and determines the final content of a text, particularly a newspaper or magazine."
either way,כך או כך,used to introduce a point that is not affected by the alternatives previously mentioned.
element,אלמנט,"a part or aspect of something abstract, especially one that is essential or characteristic."
emerge,"לצאת,להתגלות",move out of or away from something and become visible.
emotion,רגש,"a natural instinctive state of mind deriving from one's circumstances, mood, or relationships with others."
exception,יוצא מן הכלל,a person or thing that is excluded from a general statement or does not follow a rule.
exchange,החלפה,the giving of one thing and receiving of another (especially of the same type or value) in return.
expected,צפוי,regarded as likely to happen.
expedition,משלחת,"a journey undertaken by a group of people with a particular purpose, especially that of exploration, research, or war."
expense,הוצאה,the cost incurred in or required for something.
export,יצוא,send (goods or services) to another country for sale.
expression,"ביטוי, התבטאות",the process of making known one's thoughts or feelings.
extend,"להרחיב, להושיט יד",cause to cover a larger area; make longer or wider.
extreme,קיצוני,reaching a high or the highest degree; very great.
farther/further,רחוק יותר,"at, to, or by a greater distance (used to indicate the extent to which one thing or person is or becomes distant from another)."
fed up,נמאס לו,bored or frustrated and unhappy (especially with a situation which has lasted too long).
fetch,להביא,go for and then bring back (someone or something) for someone.
final,סופי,coming at the end of a series.
fit,"תואם (,בכושר, חטוב)","of a suitable quality, standard, or type to meet the required purpose."
generation,דור,"all of the people born and living at about the same time, regarded collectively."
genuine,אמיתי,truly what something is said to be; authentic.
get rid of something,להיפטר ממשהו,dispose of or throw away (something unwanted).
get something wrong,לא להבין נכון,fail to understand or interpret something correctly.
get worse,"להרע, להדרדר",deteriorate or become more unpleasant.
give away something,למסור בחינם,give something to someone without asking for payment.
go out,לצאת,leave one's house to go somewhere socially.
hidden,מוסתר,kept out of sight; concealed.
highlight,להדגיש,emphasize or make something stand out.
historian,היסטוריון,"an expert in or student of history, especially that of a particular period, geographical region, or social phenomenon."
historic,היסטורי,famous or important in history
identical,זהה,similar in every detail; exactly alike.
immigration,הגירה,the action of coming to live permanently in a foreign country.
import,לייבא,bring (goods or services) into a country from abroad for sale.
impress,להרשים,make (someone) feel admiration and respect.
impression,רושם,"an idea, feeling, or opinion about something or someone, especially one formed without conscious thought or on the basis of little evidence."
incredible,מדהים,impossible to believe.
indoors,בתוך מבנה,inside a building.
infection,זיהום,a condition in which bacteria or viruses that cause disease have entered the body
input,קלט,"what is put in, taken in, or operated on by any process or system."
inside,מבפנים,within the interior of something; inner part.
interaction,אינטראקציה,reciprocal action or influence.
interpret,לפרש,explain the meaning of (information or actions).
interrupt,להפריע,stop the continuous progress of (an activity or process).
involvement -מעורבות,the fact or condition of participating in something.,
issue,נושא,an important topic or problem for debate or discussion.
it looks like/as if/as though,זה נראה כאילו,it seems probable or likely that.
jam,ריבה,a sweet spread or preserve made from fruit and sugar boiled to a thick consistency.
journalist,עיתונאי,"a person who writes for newspapers, magazines, or news websites or prepares news to be broadcast."
judgment,שיקול דעת,the ability to make considered decisions or come to sensible conclusions.
"just as bad / good / tall /clever, etc (as sb/something)",בדיוק כמו,of the same degree or quality as.
justice,צדק,fairness in the way people are dealt with
keen,נלהב,having or showing eagerness or enthusiasm.
keep,לשמור,have or retain possession of.
kit,ערכה,a set of articles or equipment needed for a specific purpose.
learn,ללמוד,"gain or acquire knowledge of or skill in (something) by study, experience, or being taught."
lecture,הרצאה,"an educational talk to an audience, especially to students in a university or college."
light,אור,the natural agent that stimulates sight and makes things visible.
living,חי,the pursuit of a lifestyle of the specified type.
logical,הגיוני,"characterized by or capable of clear, sound reasoning."
look forward to something/doing something,לצפות,feel pleased and excited about something that is going to happen.
lower,תחתי,less high in position.
make sense,להשמע הגיוני,be coherent or intelligible; be understandable.
make up something,להמציא סיפור,invent a story or lie.
make up your mind or make your mind up,להחליט,decide to do or have something.
mend,לתקן,repair (something that is broken or damaged).
mixture,תערובת,a substance made by mixing other substances together.
monthly,חודשי,"done, produced, or occurring once a month."
mystery,תעלומה,something that is difficult or impossible to understand or explain.
name,לציין,"specify (an amount, time, or place) as something desired, suggested, or decided on."
native -מקומי,associated with the place or circumstances of a person's birth.,
neither … nor,לא זה ולא זה,not the one nor the other of two people or things; not either.
nightmare,סיוט,a frightening or unpleasant dream.
nonsense,שטויות,spoken or written words that have no meaning or make no sense.
"not believe / understand / hear / say, etc. a word",לא להאמין,"refuse to believe, accept, or comply with something."
not until,לא עד ש,only after (the event or time mentioned).
occupation,עיסוק,a job or profession.
occupy,לשלוט,take control or possession of a place
oil,שמן,a thick liquid that comes from petroleum
on the whole,באופן כללי,generally; taking everything into account.
open,פתוח,"allowing access, passage, or a view through an empty space"
operate,לתפעל,function in a specified manner.
organ,איבר,a part of the body of an animal or plant that performs a particular job.
organization,ארגון,an organized group of people with a particular purpose
outstanding,מצטיין,exceptionally good.
part-time,חֶלְקִי,done for only part of the time it is usually possible to work.
patient,סבלני,able to accept or tolerate delays or problems without becoming annoyed or anxious.
